NetID,Professor Name,Professor Description,Research Interest,Research Area,Research Topic
psauer,Peter W Sauer,"Pete Sauer obtained his BS in Electrical Engineering from the University of Missouri at Rolla in 1969.  From 1969 to 1973, he was the electrical engineer on a design assistance team for the Tactical Air Command at Langley Air Force Base, Virginia, working on design and construction of airfield lighting and electrical distribution systems.  He obtained the MS and Ph.D. degrees in Electrical Engineering from Purdue University in 1974 and 1977 respectively.  He has been on the faculty at The University of Illinois at Urbana-Champaign since 1977 where he teaches courses and directs research on power systems and electric machines. From August 1991 to August 1992 he served as the Program Director for Power Systems in the Electrical and Communication Systems Division of the National Science Foundation in Washington D.C.  He is a cofounder of PowerWorld Corporation and served as Chairman of the Board of Directors from 1996-2001.  He is a cofounder of the Power Systems Engineering Research Center (PSERC) and has served as the Illinois site director from 1996-2015.  He retired from the Air Force reserves as a Lt. Col. in 1998.   He has authored/coauthored over 200 technical papers and the book with M. A. Pai, Power System Dynamics and Stability, published by Prentice-Hall in 1998.  He is a registered Professional Engineer in Virginia and Illinois, a Fellow of the IEEE, and a member of the U.S. National Academy of Engineering.  He is currently the Grainger Chair Professor of Electrical Engineering at Illinois.   Students are candles to be lighted, not bottles to be filled -- paraphrased from Plutarch. Power systems: Multi-machine dynamic modeling and simulation; Dynamic Security Assessment (DSA), Available Transfer Capability (ATC); Technical challenges of restructuring issues. Electric machinery: Dynamic modeling and simulation; advanced control methods; design and performance analysis.","
Cyber security of power system EMS
Power System Stability
Power System Dynamic Modeling and Simulation
Electric Machinery Modeling, Analysis and Control","
Electrical machines and drive systems
Power and Energy Systems","
Computational science and engineering
Cyberinfrastructures
Electric transportation
Energy
Network science and engineering
Policy and economics
Smart grid and energy delivery
Solar and renewable technology
Storage and conversion"
cdschmit,Christopher Schmitz,"Dr. Schmitz was bornin Pana, Illinois. He graduated valedictorian of Pana High School in 1988 and was a Bronze Tablet recipient upon receiving his BS in Electrical Engineering at the University of Illinois in 1993.He received his MS in Electrical Engineering at the University of Illinois in 1996 in the area of fault-tolerant adaptive filtering. Schmitz worked at TRW Space and Electronics Group in Hermosa Beach, California, in the area of  satellite communication.He completed his Ph.D. in 2002 in interference cancellation in multi-user communications. Upon graduation, he joined Beckman Institute of the University of Illinois to develop and test signal processing and wireless communication algorithms for advanced hearing device designs. Since 2005, Schmitz has also been active in the Electrical and Computer Engineering department performing course development work and teaching in the areas of digital signal processing and digital communications. Since 2012, he serves the department as Chief Undergraduate Advisor and the course director for ECE110, Intro to Electronics. His website can be found at http://publish.illinois.edu/cdschmitz/. ""Everything should be made as simple as possible, but not simpler."" -- restatement of Einstein  Teaching is vital to the success of the University of Illinois.Students must be engaged in the classroom. Demonstrations and active learning exercises provide a means to present complex ideas to students in intuitive ways. My research interests are primarily two-fold: 1) Promoting substantial research and individual study for undergraduates at all levels of the curriculum and 2)  improving engineering education through interactions with other educators throughout the College of Engineering. In the first role, I have founded an undergraduate research team, WaggleNet, for the collection and interpretation of data collected from operational honeybee colonies. For the latter role, I have been privileged to join the AE3 as an Education Innovation Fellow where I advise multiple projects in teaching and learning across the college. I will entertain undergraduate proposals in the areas of signal processing, communications, and circuits at any level of study. I also have an undergraduate research group, WaggleNet, the members of which work to collect and process data from operational honeybee colonies to reduce bee-related problems. WaggleNet.org","
Acoustic Signal Processing for Hearing-Aid Applications
Multiuser Detection
Adaptive Signal Processing and Beamforming
Wireless Communication
Improving Education in STEM Disciplines","
Adaptive signal processing
Audio, speech, music and auditory processing
Signal detection and estimation
Wireless communication systems","
RF and microwave engineering"
jesa,Jose E Schutt-Aine,"The era of big data will lead to systems necessitating the transport of large amounts of information. Today's high-speed I/O signaling links are faced with difficult challenges: pins and interconnects available for off-chip signaling remain almost constant, while the throughput needed is increasing and the required aggregate bandwidths are moving into the Tb/s range (with target bit error rates as low as 10-21 for memory links).  High-speed chip-to-chip communication has historically been considered less critical than the on-chip signaling performance; however, due to today's huge demands for data throughput, off-chip interconnect bandwidth is increasingly becoming the system bottleneck, and creative solutions are needed to meet the requirements, now measured even in terabytes per second  for graphic processing cores. Due to manufacturing and technology limitations, the physical dimension scaling of the passive package and interconnect systems is unable to keep up with the rapid miniaturization benefits enjoyed by active devices (such as silicon chips in CMOS technology nodes) which is dictated by Moore's law. Therefore, the resources (pins and interconnects) available for off-chip signaling remain almost constant, while the throughput needed is increasing. This trend is expected to persist in the future. At the same time, in order to keep up with the data throughput needed over limited resources, high edge rates are being used for signaling. This causes various signal integrity impairments, which in turn limit the system performance and force the data rates to be well below the Shannon limit of the channel capacity. Coupled with the limited channel resources are the conflicting requirements of low power and extremely reliable signaling . All of these limitations combined call for creative solutions in order to keep up with the performance demands of next-generation systems.  In our research group we investigate how these changes will affect the different aspects of high-speed link design. We develop modeling and simulation strategies as well as techniques for mitigating noise while reducing power.","
High-Frequency Measurements, Mixed-Signal Design, High-Performance Computing for Electromagnetic Modeling, CAD Tools for Interconnects and Packages, Signal Integrity,
Machine Learning for High-Speed System Modeling","
Circuits
Computer aided design
Device modeling
Electromagnetic theory
Electromagnetics and Optics
Electronic packaging
High-frequency circuits
Microwave devices and circuits","
Electronic Design Automation"
aschwing,Alexander Gerhard Schwing,,,,
shanbhag,Naresh R Shanbhag,"I teach courses in digital and analog integrated circuit design, digital signal processing, probability with engineering applications, VLSI architectures and algorithms for machine learning, communications and signal processing. My research investigates the design of energy-efficient machine learning and communication systems in scaled silicon and beyond CMOS technologies. Our work innovates across systems, algorithms, architectures and integrated circuits. Research opportunities exist for the creative, enthusiastic and hardworking undergraduate in the areas of integrated circuit design, VLSI architectures for DSP and communications, and machine learning implementations.","
energy efficient systems, architectures and integrated circuits for communications, signal processing and machine learning","
Circuits
Communications
Signal Processing
VLSI in communications","
Autonomous Systems and Artificial Intelligence
Beyond CMOS
Cognitive computing
Cyberphysical systems and internet of things
Data/Information Science and Systems
Electronics, Plasmonics, and Photonics
Machine vision
Sensing systems
Wearable and mobile computing"
acsinger,Andrew Singer,"Andrew C. Singer received the S.B., S.M., and Ph.D. degrees, all in electrical engineering and computer science, from the Massachusetts Institute of Technology in 1990, 1992, and 1996, respectively. Since 1998, he has been on the faculty of the Department of Electrical and Computer Engineering at the University of Illinois at Urbana-Champaign, where he is currently holds the Fox Family Endowed Professorship and the rank of Professor in the Electrical and Computer Engineering Department and serves as Associate Dean for Innovation and Entrepreneurship in the College of Engineering.  He also holds the rank of Professor in the Departments of Industrial and Enterprise Systems Engineering and in the Department of Business Administration in the College of Business.  During the academic year 1996, he was a Postdoctoral Research Affiliate in the Research Laboratory of Electronics at MIT.  From 1996 to 1998, he was a Research Scientist at Sanders, A Lockheed Martin Company in Manchester, New Hampshire, where he designed algorithms, architectures and systems for a variety of DOD applications.  His research spans algorithms and architectures for statistical signal processing and communication systems, as well as information theory and machine learning.  He was a Hughes Aircraft Masters Fellow, and was the recipient of the Harold L. Hazen Memorial Award for excellence in teaching in 1991.  In 2000, he received the National Science Foundation CAREER Award, in 2001 he received the Xerox Award for Outstanding Faculty Award, and in 2002 was named a Willett Faculty Scholar.  He has received numerous awards and honors, including Best Paper Awards from the IEEE Solid State Circuits Society in 2006 for his paper in the Journal of Solid State Circuits, and in 2008 from the IEEE Signal Processing Society for his paper in the Signal Processing Magazine.  Dr. Singer has served as an Associate Editor for the IEEE Transactions on Signal Processing and is a member of the MIT Educational Council, and of Eta Kappa Nu and Tau Beta Pi.  He is a Fellow of the IEEE and was selected as a Distinguished Lecturer of the IEEE Signal Processing Society in 2014.  From 2005-2017, Dr. Singer served as the Director of the Technology Entrepreneur Center (TEC) in the College of Engineering creating and overseeing courses and activities attended by over 5,000 students annually.  In 2017 he was named Interim Director of the Siebel Center for Design and in 2018 was appointed as Associate Dean for Innovation and Entrepreneurship in the College of Engineering. In 2000, he co-founded Intersymbol Communications, Inc., a venture-funded fabless semiconductor IC company, based in Champaign Illinois, which brought an MLSE-based electronic dispersion compensation chip-set to the optical communications market.  In 2007, Intersymbol Communications, Inc., was acquired by Finisar Corporation. In 2015, he co-founded OceanComm, developer of real-time video capable, Mb/s underwater wireless communication systems. Dr. Singer serves on the Board of Directors of Dx Photonics, a medical imaging technology company and of Mimosa Acoustics, an audiology diagnostic device company. He also serves as an expert witness to the signal processing and communications industries. Underwater acoustic communications research. Augmented listening and audio signal processing research. Matlab and signal processing knowledge required.","
Signal Processing, Communication Systems, Machine Learning, Sonar/Lidar/Optical Signal Processing, finance, optical communications, wireline/wireless communications, underwater acoustic communications, cognitive and algorithmic decision making.","
Acoustics
Adaptive signal processing
Analog integrated circuits
Antennas for communication and wireless sensing
Circuits
Coding theory and applications
Communication networks
Communications
Computer architecture
Computer vision and pattern recognition
Digital integrated circuits
Dynamic games and decision theory
Information theory
Machine learning and pattern recognition
Nonlinear systems and control
Optical communications
Parallel processing
Random processes
Signal detection and estimation
Signal Processing
VLSI architectures and integrated circuits for DSP and communications
VLSI in communications
Wireless communication systems","
Autonomous Systems and Artificial Intelligence
Autonomous vehicular technology, UAVs
Bioelectronics and Bioinformatics
Cognitive computing
Cyberphysical systems and internet of things
Data science and analytics
Data/Information Science and Systems
Decision science
Healthcare and medical technologies
Imaging science and systems
Machine learning
Robotics
Sensing systems
Socio-technical systems and networking
Speech, language, and audio processing
Wearable and mobile computing"
paris,Paris Smaragdis,"Paris Smaragdis is faculty at the Computer Science and the Electrical and Computer Engineering departments of the University of Illinois at Urbana-Champaign, as well as a senior research scientist at Adobe Research. He completed his masters, PhD, and postdoctoral studies at MIT, performing research on computational audition. His research is focused on machine learning approaches to solving various audio signal processing problems. In 2006 he was selected by MITs Technology Review as one of the years top young technology innovators for his work on machine listening, in 2015 he was elevated to an IEEE Fellow for contributions in audio source separation and audio processing, and he served as an IEEE SPS Distinguished Lecturer in 2016-2017. He is currently the chair of IEEE's Audio and Acoustic Signal Processing Technical Committee, and a member-at-large of the IEEE Signal Processing Society Board of Governors. He has been the chair of the ICA/LCA steering committee, the chair of the IEEE Machine Learning for Signal Processing Technical Committee, a member of the IEEE Audio and Acoustic Signal Processing Technical Committee, an Associate Editor for the IEEE Signal Processing Letters, and a Senior Area Editor for the IEEE Signal Processing Transactions. He holds 37 US patents and many other internationally.","
Machine Learning
Signal Processing
Machine Listening
Audio Processing","
Audio, speech, music and auditory processing
Machine learning
Machine learning and pattern recognition
Robotics, vision, and artificial intelligence
Signal detection and estimation
Signal Processing
Speech recognition and processing","
Autonomous Systems and Artificial Intelligence
Data science and analytics
Data/Information Science and Systems
Machine learning
Speech, language, and audio processing"
rsrikant,Rayadurgam Srikant,"I like to design algorithms for solving problems in the areas of communication networks, social networks, cloud computing and machine learning, using mathematical tools from probability, optimization, control theory and game theory.","
Communication Networks
Machine Learning
Cloud Computing
Stochastic Networks
Game Theory
Stochastic Control","
Communication networks
Dynamic games and decision theory
Machine learning
Random processes
Stochastic systems and control","
Cyberphysical systems and internet of things
Data science and analytics
Data/Information Science and Systems
Distributed computing and storage systems
Game theory
Machine learning
Network science and engineering"
nhv,Nitin H Vaidya,"Nitin Vaidya received the Ph.D. from the University of Massachusetts at Amherst. He is a Professor of Electrical and Computer Engineering at the University of Illinois at Urbana-Champaign. He has held visiting positions at Argonne National Labs, Technicolor Paris Lab, TU-Berlin, IIT-Bombay, Microsoft Research, and Sun Microsystems, as well as a faculty position at the Texas A&M University. Nitin Vaidya has co-authored papers that received awards at several conferences, including 2015 SSS, 2007 ACM MobiHoc and 1998 ACM MobiCom. He is a fellow of the IEEE. He presently serves the Chair of the Steering Committee for the ACM PODC conference, and has previously served as Editor-in-Chief for the IEEE Transactions on Mobile Computing, and Editor-in-Chief for ACM SIGMOBILE publication MC2R. More information at http://disc.ece.illinois.edu/. My teaching interests are in the area of distributed computing and networking. Research on distributed algorithms and systems. Prof. Vaidya's research group conducts research in the area of distributed algorithms and systems. Opportunities are sometimes available for undergraduate students interested in working on distributed systems. Suitable students will have taken ECE 428/CS 425 and preferably CS 374.","
Fault-Tolerant Computing
Distributed algorithms","
Communication networks
Computer networking
Computer security, privacy, and information trust
Distributed algorithms
Distributed and peer-to-peer systems
Fault tolerance and reliability","
Autonomous Systems and Artificial Intelligence
Cyberphysical systems and internet of things
Cybersecurity and privacy
Data/Information Science and Systems
Distributed computing and storage systems
Network science and engineering"
dpv,David Varodayan,"David joined Computer Science in Fall 2018 to lead the required undergraduate course on probability, statistics and introductory machine learning (CS 361). He also teaches a course on discrete mathematics and proof writing (CS 173). For the previous 5 years, he held the positions of Lecturer and Academic Advisor in the Department of Electrical and Computer Engineering (ECE) at Illinois, where he taught computer organization and assembly programming, circuits, and signals and systems. He was also the ECE Director of the Merit Program for Emerging Scholars. David won the ECE department's inaugural George Anner Excellence in Undergraduate Teaching Award (2016) has appeared on the University's List of Teachers Ranked as Excellent 9 times in the 11 semesters that he has taught. He received M.S. and Ph.D. degrees from Stanford University in 2005 and 2010, respectively.",,,
varshney,Lav R Varshney,My research focuses on the science and engineering of informational systems involving humans and machines.  It is driven by a desire to improve individual and collective intelligence in modern environments.,,"
Coding theory and applications
Communications
Fault tolerance and reliability
Image, video, and multimedia processing and compression
Information theory
Machine learning and pattern recognition
Nanotechnology
Signal detection and estimation
Signal Processing
VLSI in communications","
Autonomous Systems and Artificial Intelligence
Cognitive computing
Cyberphysical systems and internet of things
Data science and analytics
Data/Information Science and Systems
Decision science
Distributed computing and storage systems
Electric transportation
Human computer interactions
Machine learning
Network science and engineering
Neuro-engineering
Sensing systems
Smart infrastructures
Socio-technical systems and networking
Speech, language, and audio processing"
shobhav,Shobha Vasudevan,,"
Algorithms for graphical/network analysis of data
Verification of digital, analog and mixed signal systems","
Algorithms and computational complexity
Analog integrated circuits
Biosensors and bioelectronics
Compilers
Computer aided design
Computer aided design of integrated circuits
Computer architecture
Computer security, privacy, and information trust
Discrete-event, switched and hybrid systems
Fault tolerance and reliability
Formal methods and software verification
Hardware systems
Integrated circuit reliability
Logic design and VLSI
Machine learning and pattern recognition
Operating systems
Programming languages
System modeling and measurement
VLSI architectures and integrated circuits for DSP and communications
VLSI in communications","
Autonomous vehicular technology, UAVs
Cyberphysical systems and internet of things
Data science and analytics
Genomics
Healthcare and medical technologies
Machine learning"
vvv,Venugopal V. Veeravalli,"Venu Veeravalli received the  Ph.D. degree in 1992 from Illinois, the M.S. degree in 1987 from Carnegie-Mellon University, and the B. Tech. degree in 1985 from the Indian Institute of Technology, Bombay, (Silver Medal Honors), all in electrical engineering. He joined Illinois in 2000, and is currently a professor in the ECE Department. He also holds appointments in Department of Statistics, the Coordinated Science Laboratory and the Information Trust Institute. Prior to joining Illinois, he was on the faculty of the School of ECE at Cornell University. He served as a program director for communications research at the U.S. National Science Foundation in Arlington, VA during 2003-2005.  He is a Fellow of the IEEE, and has been on the Board of Governors of the IEEE Information Theory Society and on the SPTM Technical Committee of the IEEE Signal Processing Society. He has been an Associate Editor for the IEEE Transactions on Information Theory, and for the IEEE Transactions on Wireless Communications. He was a Distinguished Lecturer for the IEEE Signal Processing Society during 2010-2011. Veeravalli's research interests span the theoretical areas of statistical inference, machine learning, and information theory, with applications to data science, wireless communications, and cyberphysical systems. Veeravalli received the 1996 IEEE Browder J. Thompson Award, an award given annually to an outstanding paper by authors under the age of thirty selected from all the publications of the IEEE. In 1998 he received a CAREER Award from the National Science Foundation, and was one of the twenty CAREER awardees from all the disciplines of the NSF to receive the Presidential Early Career Award for Scientists and Engineers (PECASE) from the White House in 1999. He received the Abraham Wald Prize in Sequential Analysis in 2016. While at Cornell, he received the Michael Tien Excellence in Teaching Award from the College of Engineering. At Illinois, he has received the Beckman Associate Fellowship at the Center for Advanced Study, 2002, the Xerox Award from the College of Engineering in 2003, and has been listed multiple times on the List of Teachers Ranked as Excellent by their Students. Professor Veeravalli has taught undergraduate courses on communication systems, probability, signal and systems, and data science, and graduate courses on detection and estimation theory, information theory, communication theory, and wireless communication. Veeravallis research interests span the theoretical areas of statistical inference, machine learning, and information theory, with applications to data science, wireless communications, and cyberphysical systems. Research Experience for Undergraduates (REU) supported by National Science Foundation (NSF) grants.","
Wireless Communication
Sensor Networks
Data Science and Engineering
Information Theory
Detection and Estimation Theory
Machine Learning
Statistical Inference","
Adaptive signal processing
Computer security, privacy, and information trust
Distributed algorithms
Information theory
Intelligent devices and controls for electricity grids
Machine learning
Machine learning and pattern recognition
Random processes
Signal detection and estimation
Stochastic systems and control
Wireless communication systems","
Cyberphysical systems and internet of things
Cybersecurity and privacy
Data science and analytics
Decision science
Machine learning
Sensing systems
Smart grid and energy delivery"
pramodv,Pramod Viswanath,"My area of research is Wireless Communication Networks. My main research interests are in understanding fundamental limitations to reliable wireless communication and to leverage this understanding into engineering solutions for wireless networks. An important component of my research is to take a system view of wireless communication by a joint consideration of networking and medium access issues with the underlying time-varying wireless channel. More broadly, I am interested in understanding fundamental limitations to network information transmission and representation. Some of our recent research resolves decades-long open problems in optimal network information compression. My publications provide a finer look at the nature of my research interests and the engineering scope of contributions.","
Wireless Communication, Information Theory, Cryptocurrencies","
Communication networks
Communications
Information theory
Wireless communication systems","
Autonomous Systems and Artificial Intelligence
Cybersecurity and privacy
Data science and analytics
Data/Information Science and Systems
Distributed computing and storage systems
Machine learning
Network science and engineering
Speech, language, and audio processing"
yvlasov,Yurii Vlasov," Dr. Yurii Vlasov is a GEBI Founder Professor of Engineering at the University of Illinois at Urbana-Champaign. He is tenured with the departments of Electrical and Computer Engineering, Materials Science and Engineering, and Bio-Engineering, as well as Carle Illinois College of Medicine. At the UIUC he established the Integrated Neurotechnology lab devoted to development of advanced engineering approaches aimed at reverse engineering of the brain circuits. The major themes include development of silicon-based nanofluidic and nanophotonic neural probes, in-vivo neurobiological experiments with massive recording and manipulation of brain activity, and, lastly, development of machine-learning algorithms to analyze large neural datasets.      Prior to joining the UIUC in 2016, Dr. Vlasov held various research and managerial positions at the IBM T.J. Watson Research Center in N.Y. where he led broad company-wide efforts in integrated silicon nanophotonics and more recently in neuromorphic computing architectures. He initiated the Silicon Nanophotonics project in 2001 and managed it for over 15 years from its early fundamental research stage up to commercial manufacturing of optical transceivers for large-scale datacenters and supercomputers. The technology has been fully qualified and deployed for commercial production at GlobalFoundries.      Prior to joining IBM in 2001, Dr. Vlasov developed semiconductor nanophotonics at the N.E.C. Research Institute in Princeton, N.J. and at the Strasbourg IPCMS Institute in France. For over a decade, he was also a Research Scientist with the Ioffe Institute of Physics and Technology in St. Petersburg, Russia working on optics of nanostructured semiconductors. He received his M.S. from the University of St. Petersburg (1988) and Ph.D from the Ioffe Institute (1994), both in physics.        Dr. Vlasov is a Fellow of APS, IEEE, and OSA. He has published over 300 papers, filed over 100 patents, and delivered over 100 invited, plenary and tutorial talks. He received the IBM CEO Corporate Award, the Best of IBM Award, and several IBM Outstanding Technical Achievement Awards, as well as was named Scientist of the Year by the Scientific American journal. Dr. Vlasov and his work has been covered in numerous major newspapers, including New York Times, Forbes, Wall Street Journal, and others. It has been featured on television news programs including The Tonight Show, ABC, CBS, etc. It has also been highlighted in review columns on Science Daily, Scientific American Journal, New Scientist, etc. We aim to uncover the basic principles of brain computations that form the basis of perception and guide complex behavior. Our vision is to integrate engineering, systems neuroscience, and data analytics to advance our knowledge of inner working of the brain. Correspondingly, the interdisciplinary projects in the lab can be categorized into three main threads: Neuro-engineering, Neuro-biology, and Neuro-informatics. Neuro-engineering is focused on developing advanced neural probes to interrogate and manipulate the brain using nanotechnology approaches. These novel tools are used in Neuro-biology experiments to record massive datasets of brain activity in live animals during active navigation in virtual reality. Development of machine learning analytical methods in Neuro-informatics thread provides insight into functionality of neural circuits and systems.","
Neuroengineering, Integrated neural probes, neurophotonics, Brain-machine interface, Virtual Reality systems
Neurobiology, Experimental systems neuroscience, Hierarchical information processing in cortical networks
Neuroinformatics, Machine learning, dimensionality reduction, network dynamics","
Bioelectromagnetics
Bionanotechnology
Biosensors and bioelectronics
Microcavity lasers and nanophotonics
Sensors","
Micro & nanoelectromechanical M/NEMS integrated systems
Nanomedicine and bio-nanotechnology
Neuro-engineering"
lwaldrop,Lara Waldrop,"Modern societys increasing reliance on space-based assets for communication, navigation, and resource management demands a detailed and precise understanding of the time-varying behavior of the terrestrial atmosphere near low-earth orbit (~200-2000 km). Dr. Waldrop's research addresses this need by devising novel sensing techniques to provide empirical estimation of constituent species temperature and density, quantities which govern the frictional drag of satellites and space debris and thus orbital trajectories and collision hazards. These techniques also support the monitoring and future prediction of transient disturbances caused by space weather, which pose additional dangers to infrastructure through electric charging of satellite electronics, disruption of radio communication signals from space to ground, and induced currents in the electric power grid. Dr. Waldrop's research enables the unprecedented quantification of atmospheric state parameters both directly, via mass spectrometer deployment on small satellites, as well as indirectly, through constraint of numerical models of chemical and radiative processes by various dispersed and often intermittent data sources. The intrinsic challenge of obtaining sufficient model constraints for indirect state parameter estimation demands the utilization of a variety of ground- and space-based remote sensing techniques, including incoherent scatter and frequency-swept radars, and spectroscopy, photometery, and interferometery at wavelengths ranging from near-infrared to far-ultraviolet. The breadth of her research endeavors  from the development and deployment of novel observing modalities, including nano-satellites, to computational model capabilities  enables insights regarding the properties and behavior of the atmospheric boundary region that protects our habitable environment from outer space and sustains our technological infrastructure.","
Development of optical and radar remote sensing techniques
Space plasma diagnostics
Computational modeling of radiative processes
Small satellite mission design and implementation","
Atmospheric and ionospheric measurements
Atmospheric and ionospheric theory
Radio and optical wave propagation
Remote Sensing","
Charge particle physics and engineering
Computational science and engineering
Data science and analytics
Photonics: optical engineering and systems
Sensing systems"
mdfwong,Martin D F Wong,,"
Combinatorial optimization
Design and analysis of algorithms
Field-programmable systems
Design for Manufacturing
CAD for VLSI Electronic Packaging
Computer-aided design of VLSI","
Algorithms and computational complexity
Circuits
Computer aided design of integrated circuits
Logic design and VLSI",
zhizhenz,Zhizhen Zhao,,,,
jinzhou,Jin Zhou,,,,
wjzhu,Wenjuan Zhu,,,,
